"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)","YearCount"
"7th Dragon III Code: VFD","3DS",2015,"Role-Playing","Sega",0.03,0,0.12,0,0.16,6
"99 no Namida","NDS",2008,"Adventure","Namco Bandai Games",0,0,0.04,0,0.04,13
"999: Nine Hours, Nine Persons, Nine Doors","NDS",2009,"Adventure","ChunSoft",0.37,0,0.03,0.03,0.43,12
"A Boy and His Blob","Wii1",2009,"Platform","Majesco Entertainment",0.19,0.02,0,0.02,0.22,12
"A Bug's Life","PSX, N64",1998,"Platform","Sony Computer Entertainment",2.45,0.85,0,0.12,3.42,23
"A Collection of Activision Classic Games for the Atari 2600","PSX",1998,"Misc","Activision",0.76,0.52,0,0.09,1.37,23
"A Collection of Classic Games from the Intellivision","PSX",1999,"Misc","Activision",0.17,0.12,0,0.02,0.31,22
"A Game of Thrones: Genesis","PC",2011,"Strategy","Focus Home Interactive",0,0.03,0,0.01,0.04,10
"A Good Librarian Like a Good Shepherd: Library Party","PSV",2015,"Action","Kaga Create",0,0,0.03,0,0.03,6
"A New Beginning","PC",2010,"Adventure","Deep Silver",0,0.05,0,0.01,0.06,11
"A Ressha de Gyoukou 2001","PS2",2001,"Simulation","ArtDink",0,0,0.03,0,0.03,20
"A Ressha de Ikou DS","NDS",2009,"Simulation","ArtDink",0,0,0.04,0,0.04,12
"A Vampyre Story","PC",2008,"Adventure","Crimson Cow",0,0.01,0,0,0.02,13
"A Witch's Tale","NDS",2009,"Role-Playing","Nippon Ichi Software",0.08,0,0.03,0.01,0.11,12
"A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES",1995,"Simulation","Pack-In-Video",0,0,0.06,0,0.06,26
"A-Train","PSX",1995,"Simulation","Sony Computer Entertainment",0.02,0.01,0.04,0.01,0.08,26
"A-Train 6","PS2",2000,"Strategy","Midas Interactive Entertainment",0,0,0.06,0,0.06,21
"A-Train: City Simulator","3DS",2014,"Simulation","ArtDink",0,0,0.06,0,0.06,7
"A. IV Evolution: A Ressha de Ikou 4","PSX",1994,"Strategy","ArtDink",0,0,0.24,0.02,0.25,27
"A.C.E.: Another Century's Episode","PS2",2005,"Simulation","Banpresto",0,0,0.26,0,0.26,16
"A.C.E.: Another Century's Episode 2","PS2",2006,"Simulation","Banpresto",0,0,0.18,0,0.18,15
"A.C.E.: Another Century's Episode 3: The Final","PS2",2007,"Simulation","Banpresto",0,0,0.26,0,0.26,14
"A.C.E.: Another Century's Episode Portable","PSP",2011,"Simulation","Namco Bandai Games",0,0,0.12,0,0.12,10
"A.C.E.: Another Century's Episode R","PS3",2010,"Simulation","Namco Bandai Games",0,0,0.26,0,0.26,11
"ABBA: You Can Dance","Wii1",2011,"Misc","Ubisoft",0.19,0.5,0,0.11,0.8,10
"AC/DC LIVE: Rock Band Track Pack","Wii1, PS3, X360, PS2",2008,"Misc","MTV Games",0.7499999999999999,0.06999999999999999,0,0.08,0.91,13
"AIR","PSP",2007,"Adventure","Prototype",0,0,0.02,0,0.02,14
"AKB1/149: Love Election","PSP, PS3, PSV",2012,"Adventure","Namco Bandai Games",0,0,0.38,0,0.38,9
"AKB1/48: Idol to Guam de Koishitara...","PSP",2011,"Misc","Namco Bandai Games",0,0,0.4,0,0.4,10
"AKB1/48: Idol to Koishitara...","PSP",2010,"Misc","Namco Bandai Games",0,0,0.41,0,0.41,11
"AMF Bowling 2004","XB",2003,"Sports","Mud Duck Productions",0.22,0.06,0,0.01,0.3,18
"AMF Bowling Pinbusters!","Wii1, NDS",2007,"Sports","Bethesda Softworks",0.9099999999999999,0,0,0.07,0.98,14
"AMF Bowling World Lanes","Wii1",2008,"Sports","Bethesda Softworks",0.33,0,0,0.03,0.36,13
"AMF Xtreme Bowling","PS2",2006,"Sports","Mastertronic",0.01,0.01,0,0,0.02,15
"AMNESIA World","PSV",2014,"Adventure","Idea Factory",0,0,0.03,0,0.03,7
"APB Reloaded","PC",2011,"Role-Playing","Iceberg Interactive",0.02,0.01,0,0,0.04,10
"ASH: Archaic Sealed Heat","NDS",2007,"Role-Playing","Nintendo",0,0,0.12,0,0.12,14
"ATV Offroad Fury","PS2",2001,"Racing","Sony Computer Entertainment",2.07,0.26,0,0.08,2.41,20
"ATV Offroad Fury 2","PS2",2002,"Racing","THQ",1.92,0.2,0,0.06,2.18,19
"ATV Offroad Fury 3","PS2",2004,"Racing","SouthPeak Games",1,0.04,0,0.16,1.2,17
"ATV Offroad Fury Pro","PSP",2006,"Racing","Sony Computer Entertainment",0.37,0.04,0,0.05,0.46,15
"ATV Offroad Fury: Blazin' Trails","PSP",2005,"Racing","SouthPeak Games",0.53,0,0,0.04,0.57,16
"ATV Quad Kings","Wii1, NDS",2009,"Racing","Zoo Digital Publishing",0.31,0,0,0.02,0.33,12
"ATV Quad Power Racing 2","PS2, XB, GC",2003,"Racing","Acclaim Entertainment",0.99,0.45,0,0.13,1.57,18
"ATV/Monster Truck Mayhem","NDS",2007,"Racing","Destination Software, Inc",0.33,0,0,0.02,0.36,14
"ATV: Quad Frenzy","NDS",2005,"Racing","Majesco Entertainment",0.1,0,0,0.01,0.11,16
"ATV: Quad Power Racing","PSX, GBA",2000,"Racing","Acclaim Entertainment",0.76,0.46,0,0.07,1.3,21
"Aa Megami-samaa","PS2",2007,"Adventure","Marvelous Interactive",0,0,0.01,0,0.01,14
"Abunai: Koi no Sousa Shitsu","PSV, PSP",2012,"Action","Asgard",0,0,0.03,0,0.03,9
"Academy of Champions: Soccer","Wii1",2009,"Sports","Ubisoft",0.1,0.02,0,0.01,0.13,12
"Accel World: Ginyoku no Kakusei","PS3, PSP",2012,"Adventure","Namco Bandai Games",0,0,0.06,0,0.06,9
"Accel World: Kasoku no Chouten","PS3, PSP",2013,"Adventure","Namco Bandai Games",0,0,0.03,0,0.03,8
"Ace Attorney 6","3DS",2016,"Adventure","Capcom",0,0,0.27,0,0.27,5
"Ace Attorney Investigations 2","NDS",2011,"Adventure","Capcom",0,0,0.26,0,0.26,10
"Ace Attorney Investigations: Miles Edgeworth","NDS",2009,"Adventure","Capcom",0.27,0.15,0.3,0.04,0.76,12
"Ace Combat 04: Shattered Skies","PS2",2001,"Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17,20
"Ace Combat 2","PSX",1997,"Simulation","Sony Computer Entertainment",0.16,0.11,0.56,0.06,0.89,24
"Ace Combat 3: Electrosphere","PSX",1999,"Simulation","Sony Computer Entertainment",0.22,0.15,0.4,0.05,0.83,22
"Ace Combat 5: The Unsung War","PS2",2004,"Simulation","Sony Computer Entertainment Europe",0.88,0.34,0.32,0.18,1.71,17
"Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.02,14
"Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99,15
"Ace Combat Zero: The Belkan War","PS2",2006,"Simulation","Namco Bandai Games",0.15,0.12,0.2,0.04,0.51,15
"Ace Combat: Assault Horizon","PS3, X360",2011,"Action","Namco Bandai Games",0.6,0.28,0.25,0.11000000000000001,1.23,10
"Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24,10
"Ace Combat: Joint Assault","PSP",2010,"Simulation","Namco Bandai Games",0.06,0.05,0.15,0.03,0.29,11
"Achtung Panzer: Kharkov 1943","PC",2010,"Strategy","Mamba Games",0,0.01,0,0,0.02,11
"Act of Aggression","PC",2015,"Strategy","Focus Home Interactive",0,0.01,0,0,0.01,6
"Action Bass","PSX",2000,"Action","Take-Two Interactive",0.64,0.43,0,0.07,1.14,21
"Action Force","2600",1982,"Action","CPG Products",0.5,0.03,0,0.01,0.54,39
"Active Health with Carol Vorderman","NDS",2009,"Sports","Nintendo",0,0.18,0,0.01,0.19,12
"Active Life Explorer","Wii1",2010,"Sports","Namco Bandai Games",0.14,0,0,0.01,0.15,11
"Active Life: Extreme Challenge","Wii1",2009,"Sports","Namco Bandai Games",0.15,0.27,0,0.06,0.48,12
"Active Life: Magical Carnival","Wii1",2011,"Misc","Namco Bandai Games",0.04,0.01,0,0,0.05,10
"Active Life: Outdoor Challenge","Wii1",2008,"Sports","Atari",0.79,0.44,0.19,0.14,1.55,13
"Activision Anthology","PS2, GBA",2002,"Misc","Activision",0.28,0.2,0,0.06,0.55,19
"Activision Hits: Remixed","PSP",2006,"Misc","Activision",0.05,0,0,0,0.06,15
"Actua Tennis","PSX",1997,"Sports","Gremlin Interactive Ltd",0.07,0.05,0,0.01,0.13,24
"Adidas Power Soccer","PSX",1996,"Sports","Psygnosis",0.02,0.01,0,0,0.04,25
"Adidas Power Soccer 98","PSX",1998,"Sports","Psygnosis",0.01,0.01,0,0,0.02,23
"Adrenalin Misfits","X360",2010,"Racing","Konami Digital Entertainment",0.12,0.02,0,0.01,0.14,11
"Advance Guardian Heroes","GBA",2004,"Role-Playing","Ubisoft",0.03,0.01,0,0,0.04,17
"Advance Wars","GBA",2001,"Strategy","Nintendo",0.5,0.19,0,0.01,0.7,20
"Advance Wars 2: Black Hole Rising","GBA",2003,"Strategy","Nintendo",0.47,0.17,0,0.01,0.65,18
"Advance Wars: Dual Strike","NDS",2005,"Strategy","Nintendo",0.3,0.03,0.04,0.03,0.4,16
"Advent Rising","XB",2005,"Action","THQ",0.1,0.03,0,0,0.13,16
"Adventure Island","Famicom",1986,"Platform","Hudson Soft",0,0,1.05,0,1.05,35
"Adventure Time: Explore the Dungeon Because I Don't Know!","3DS, X360, PS3, WiiU",2013,"Action","D3Publisher",0.16999999999999998,0.1,0,0.03,0.30000000000000004,8
"Adventure Time: Finn & Jake Investigations","PS3, X360, PS4, 3DS, WiiU, XOne",2015,"Action","Little Orbit",0.14,0.26,0,0.05,0.45,6
"Adventure Time: The Secret of the Nameless","3DS, X360",2014,"Adventure","Little Orbit",0.02,0,0,0,0.03,7
"Adventure Time: The Secret of the Nameless Kingdom","X360, 3DS",2014,"Action","Little Orbit",0,0.15000000000000002,0,0.01,0.16999999999999998,7
"Adventures of Lolo","Famicom",1989,"Puzzle","HAL Laboratory",0.06,0,0,0,0.06,32
"Adventures of Tron","2600",1981,"Action","Mattel Interactive",0.63,0.03,0,0.01,0.67,40
"Adventures to Go!","PSP",2008,"Role-Playing","Zushi Games",0.1,0,0.01,0.01,0.13,13
"Aedis Eclipse: Generation of Chaos","PSP",2006,"Role-Playing","Idea Factory",0.02,0,0,0,0.02,15
"Aegis of Earth: Protonovus Assault","PSV, PS3, PS4",2016,"Action","PQube",0.05,0.02,0,0.01,0.09000000000000001,5
"Aeon Flux","PS2, XB",2005,"Action","THQ",0.03,0.02,0,0.01,0.05,16
"Aero Elite: Combat Academy","PS2",2002,"Simulation","Sega",0.04,0.03,0,0.01,0.07,19
"Aero Gauge","N64",1997,"Racing","ASCII Entertainment",0.06,0.01,0,0,0.07,24
"AeroFighters Assault","N64",1997,"Action","Video System",0.15,0.04,0,0,0.19,24
"Afro Samurai","X360, PS3",2009,"Action","Atari",0.28,0.1,0,0.05,0.44,12
"After Hours Athletes","PS3",2011,"Sports","Sony Computer Entertainment",0,0.1,0,0.03,0.12,10
"Again","NDS",2009,"Adventure","Ackkstudios",0.07,0,0,0,0.07,12
"Agassi Tennis Generation","PS2",2003,"Sports","DreamCatcher Interactive",0.04,0.03,0,0.01,0.09,18
"Agatha Christie's The ABC Murders","PS4",2016,"Adventure","Microids",0.01,0.01,0,0,0.02,5
"Agatha Christie: And Then There Were None","Wii1",2008,"Adventure","The Adventure Company",0.06,0.01,0,0.01,0.08,13
"Agatha Christie: Death on the Nile","PC",2008,"Adventure","Big Fish Games",0,0.01,0,0,0.02,13
"Agatha Christie: Evil Under the Sun","Wii1",2008,"Adventure","The Adventure Company",0.07,0.02,0,0.01,0.09,13
"Agatha Christie: Peril at End House","PC",2009,"Adventure","JoWood Productions",0,0.01,0,0,0.01,12
"Agatha Christie: The ABC Murders","NDS, PC",2009,"Adventure","JoWood Productions",0.08,0.03,0,0.01,0.12000000000000001,12
"Age of Conan: Rise of the Godslayer","PC",2010,"Role-Playing","Funcom",0,0.02,0,0,0.03,11
"Age of Empires II: The Age of Kings","PC",1999,"Strategy","Microsoft Game Studios",0.01,0.08,0,0.02,0.1,22
"Age of Empires III","PC",2005,"Strategy","Microsoft Game Studios",0,0.32,0,0.07,0.39,16
"Age of Empires III: Complete Collection","PC",2009,"Strategy","Microsoft Game Studios",0.01,0.12,0,0.03,0.17,12
"Age of Empires III: Gold Edition","PC",2007,"Strategy","Microsoft Game Studios",0,0.02,0,0.01,0.03,14
"Age of Empires III: The Asian Dynasties","PC",2007,"Strategy","Microsoft Game Studios",0,0.05,0,0.01,0.07,14
"Age of Empires Online","PC",2011,"Strategy","Microsoft Game Studios",0.01,0.04,0,0.01,0.06,10
"Age of Empires: Collector's Edition","PC",2000,"Strategy","Ubisoft",0.02,0.1,0,0.02,0.14,21
"Age of Empires: Mythologies","NDS",2008,"Strategy","THQ",0.17,0.03,0,0.02,0.22,13
"Age of Empires: The Age of Kings","NDS",2006,"Strategy","THQ",0.19,0.02,0,0.02,0.23,15
"Age of Mythology","PC",2002,"Strategy","Microsoft Game Studios",0.02,0.06,0,0.01,0.09,19
"Age of Mythology: The Titans","PC",2003,"Strategy","Microsoft Game Studios",0.01,0.02,0,0,0.04,18
"Aggressive Inline","PS2, XB, GC",2002,"Sports","Acclaim Entertainment",0.26,0.15000000000000002,0,0.04,0.47,19
"Agile Warrior F-111X","PSX",1995,"Simulation","Virgin Interactive",0.08,0.05,0,0.01,0.14,26
"Aibou DS","NDS",2009,"Adventure","Tecmo Koei",0,0,0.08,0,0.08,12
"Aidyn Chronicles: The First Mage","N64",2001,"Role-Playing","THQ",0.08,0.02,0,0,0.1,20
"Aikatsu! 2-nin no My Princess","3DS",2013,"Action","Namco Bandai Games",0,0,0.26,0,0.26,8
"Aikatsu! 365 Idol Days","3DS",2014,"Adventure","Namco Bandai Games",0,0,0.13,0,0.13,7
"Aikatsu! Cinderella Lesson","3DS",2012,"Role-Playing","Namco Bandai Games",0,0,0.2,0,0.2,9
"Aikatsu! My No.1 Stage!","3DS",2015,"Misc","Namco Bandai Games",0,0,0.07,0,0.07,6
"Ailu de Puzzle","PSP",2012,"Action","Capcom",0,0,0.04,0,0.04,9
"Air Combat","PSX",1995,"Simulation","Sony Computer Entertainment",0.92,0.33,0.52,0.05,1.83,26
"Air Conflicts: Aces of World War II","PSP",2009,"Simulation","Graffiti",0.05,0,0,0,0.05,12
"Air Conflicts: Secret Wars","PS3, X360, PC",2011,"Simulation","bitComposer Games",0.16,0.1,0,0.05,0.30000000000000004,10
"Air Raid","2600",1981,"Action","Men-A-Vision",0.72,0.04,0,0.01,0.77,40
"Air Traffic Chaos","NDS",2007,"Simulation","Ertain",0.05,0,0,0,0.05,14
"AirForce Delta Storm","XB, GBA",2001,"Shooter","Konami Digital Entertainment",0.16,0.05,0,0.01,0.19999999999999998,20
"AirForce Delta Strike","PS2",2004,"Simulation","Konami Digital Entertainment",0.05,0.04,0,0.01,0.11,17
"Airblade","PS2",2001,"Sports","Sony Computer Entertainment",0.11,0.09,0,0.03,0.23,20
"Airborne Troops: Countdown to D-Day","PS2",2005,"Shooter","Playlogic Game Factory",0.06,0.05,0,0.02,0.12,16
"Airline Tycoon","PC",2000,"Simulation","Interplay",0,0.01,0,0,0.02,21
"Airline Tycoon 2","PC",2011,"Simulation","Kalypso Media",0,0.04,0,0.01,0.05,10
"Airlock","2600",1981,"Action","Data Age",0.36,0.02,0,0,0.39,40
"Airship Q","PSV",2015,"Platform","Cygames",0,0,0.03,0,0.03,6
"Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin","NDS",2008,"Adventure","Marvelous Interactive",0,0,0.06,0,0.06,13
"Akai Ito DS","NDS",2008,"Adventure","Alchemist",0,0,0.02,0,0.02,13
"Akai Katana Shin","X360",2011,"Shooter","Cave",0.04,0,0.01,0,0.06,10
"Akane Iro ni Somaru Saka Parallel","PS2",2008,"Adventure","GN Software",0,0,0.03,0,0.03,13
"Akatsuki no Amaneka to Aoi Kyojin","PSP",2010,"Strategy","CyberFront",0,0,0.01,0,0.01,11
"Akatsuki no Goei Trinity","PSP, PS3",2012,"Adventure","5pb",0,0,0.02,0,0.02,9
"Akiba's Trip","PSP",2011,"Adventure","Acquire",0,0,0.14,0,0.14,10
"Akiba's Trip Plus","PSP",2012,"Adventure","Acquire",0,0,0.08,0,0.08,9
"Akiba's Trip: Undead & Undressed","PSV, PS4, PS3",2013,"Action","Nippon Ichi Software",0.21999999999999997,0.03,0.13,0.060000000000000005,0.43,8
"Akko ni Omakase! Brain Shock","NDS",2006,"Misc","Taito",0,0,0.04,0,0.04,15
"Akuji the Heartless","PSX",1998,"Platform","Eidos Interactive",0.07,0.04,0,0.01,0.12,23
"Aladdin Magic Racer","Wii1",2011,"Racing","Big Ben Interactive",0.01,0,0,0,0.01,10
"Alan Wake","X360, PC",2010,"Action","Microsoft Game Studios",0.66,0.5700000000000001,0.05,0.14,1.4200000000000002,11
"Alexi Lalas International Soccer","PSX",1998,"Sports","Take-Two Interactive",0.04,0.03,0,0,0.07,23
"Alfa Romeo Racing Italiano","PS2",2005,"Racing","Black Bean Games",0.01,0.01,0,0,0.01,16
"Alia's Carnival! Sacrament","PSV",2015,"Adventure","dramatic create",0,0,0.03,0,0.03,6
"Alias","PS2, XB",2004,"Action","Acclaim Entertainment",0.09,0.05,0,0.01,0.16,17
"Alice in Wonderland","Wii1, NDS",2010,"Adventure","Disney Interactive Studios",0.54,0.39,0,0.1,1.03,11
"Alice: Madness Returns","PS3, X360, PC",2011,"Adventure","Electronic Arts",0.49,0.5,0.08,0.15,1.2200000000000002,10
"Alien","2600",1981,"Action","20th Century Fox Video Games",0.74,0.04,0,0.01,0.79,40
"Alien Breed Trilogy","X360",2011,"Shooter","Mastertronic",0,0.02,0,0,0.03,10
