"row ID","Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Row64","3rd Super Robot Wars Z: Tengoku-Hen","PSV PS3",2015,"Action","Namco Bandai Games",0.0,0.0,0.33999999999999997,0.0,0.33999999999999997
"Row65","4 Elements","PC",2009,"Puzzle","Mastertronic",0.0,0.04,0.0,0.01,0.05
"Row66","4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","NDS",2005,"Misc","Atari",0.11,0.0,0.0,0.01,0.12
"Row67","4 Nin uchi Mahjong","Famicom",1984,"Misc","Nintendo",0.0,0.0,1.45,0.0,1.45
"Row68","40 Winks","PSX",1999,"Platform","GT Interactive",0.17,0.12,0.0,0.02,0.31
"Row69","428: Fuusa Sareta Shibuya de","Wii1 PSP PS3",2008,"Adventure","Sega",0.0,0.0,0.19,0.0,0.19
"Row70","4x4 EVO 2","XB GC",2001,"Racing","Gathering of Developers",0.29,0.08,0.0,0.01,0.38
"Row71","4x4 Evolution","PS2",2001,"Racing","Gathering of Developers",0.16,0.12,0.0,0.04,0.32
"Row72","50 Cent: Blood on the Sand","X360 PS3",2009,"Shooter","THQ",0.22,0.13,0.01,0.05,0.4
"Row73","50 Cent: Bulletproof","PS2 XB PSP",2005,"Action","Vivendi Games",1.26,0.86,0.0,0.19,2.3
"Row74","50 Classic Games","NDS 3DS",2009,"Misc","Destineer",0.52,0.02,0.0,0.04,0.5700000000000001
"Row75","64 de Hakken! Tamagotchi Minna de Tamagotchi World","N64",1997,"Misc","Namco Bandai Games",0.0,0.0,0.22,0.0,0.22
"Row76","7 Days to Die","PS4 XOne",2016,"Action","Telltale Games",0.05,0.09000000000000001,0.0,0.02,0.16
"Row77","7 Roses: A Darkness Rises","PC",2015,"Misc","Avanquest Software",0.0,0.02,0.0,0.0,0.02
"Row78","7 Wonders II","NDS",2009,"Puzzle","Rondomedia",0.14,0.15,0.0,0.03,0.32
"Row79","7 Wonders of the Ancient World","NDS PSP",2007,"Puzzle","Funsta",0.17,0.01,0.0,0.02,0.21000000000000002
"Row80","7 Wonders: Treasures of Seven","NDS",2011,"Puzzle","Avanquest",0.02,0.03,0.0,0.01,0.05
"Row81","7th Dragon","NDS",2009,"Role-Playing","Sega",0.0,0.0,0.14,0.0,0.14
"Row82","7th Dragon 2020","PSP",2011,"Role-Playing","Sega",0.0,0.0,0.2,0.0,0.2
"Row83","7th Dragon 2020-II","PSP",2013,"Role-Playing","Sega",0.0,0.0,0.13,0.0,0.13
"Row84","7th Dragon III Code: VFD","3DS",2015,"Role-Playing","Sega",0.03,0.0,0.12,0.0,0.16
"Row85","99 no Namida","NDS",2008,"Adventure","Namco Bandai Games",0.0,0.0,0.04,0.0,0.04
"Row86","999: Nine Hours Nine Persons Nine Doors","NDS",2009,"Adventure","ChunSoft",0.37,0.0,0.03,0.03,0.43
"Row87","A Boy and His Blob","Wii1",2009,"Platform","Majesco Entertainment",0.19,0.02,0.0,0.02,0.22
"Row88","A Bug's Life","PSX N64",1998,"Platform","Sony Computer Entertainment",2.45,0.85,0.0,0.12,3.42
"Row89","A Collection of Activision Classic Games for the Atari 2600","PSX",1998,"Misc","Activision",0.76,0.52,0.0,0.09,1.37
"Row90","A Collection of Classic Games from the Intellivision","PSX",1999,"Misc","Activision",0.17,0.12,0.0,0.02,0.31
"Row91","A Game of Thrones: Genesis","PC",2011,"Strategy","Focus Home Interactive",0.0,0.03,0.0,0.01,0.04
"Row92","A Good Librarian Like a Good Shepherd: Library Party","PSV",2015,"Action","Kaga Create",0.0,0.0,0.03,0.0,0.03
"Row93","A New Beginning","PC",2010,"Adventure","Deep Silver",0.0,0.05,0.0,0.01,0.06
"Row94","A Ressha de Gyoukou 2001","PS2",2001,"Simulation","ArtDink",0.0,0.0,0.03,0.0,0.03
"Row95","A Ressha de Ikou DS","NDS",2009,"Simulation","ArtDink",0.0,0.0,0.04,0.0,0.04
"Row96","A Vampyre Story","PC",2008,"Adventure","Crimson Cow",0.0,0.01,0.0,0.0,0.02
"Row97","A Witch's Tale","NDS",2009,"Role-Playing","Nippon Ichi Software",0.08,0.0,0.03,0.01,0.11
"Row98","A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES",1995,"Simulation","Pack-In-Video",0.0,0.0,0.06,0.0,0.06
"Row99","A-Train","PSX",1995,"Simulation","Sony Computer Entertainment",0.02,0.01,0.04,0.01,0.08
"Row100","A-Train 6","PS2",2000,"Strategy","Midas Interactive Entertainment",0.0,0.0,0.06,0.0,0.06
"Row101","A-Train: City Simulator","3DS",2014,"Simulation","ArtDink",0.0,0.0,0.06,0.0,0.06
"Row102","A. IV Evolution: A Ressha de Ikou 4","PSX",1994,"Strategy","ArtDink",0.0,0.0,0.24,0.02,0.25
"Row103","A.C.E.: Another Century's Episode","PS2",2005,"Simulation","Banpresto",0.0,0.0,0.26,0.0,0.26
"Row104","A.C.E.: Another Century's Episode 2","PS2",2006,"Simulation","Banpresto",0.0,0.0,0.18,0.0,0.18
"Row105","A.C.E.: Another Century's Episode 3: The Final","PS2",2007,"Simulation","Banpresto",0.0,0.0,0.26,0.0,0.26
"Row106","A.C.E.: Another Century's Episode Portable","PSP",2011,"Simulation","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Row107","A.C.E.: Another Century's Episode R","PS3",2010,"Simulation","Namco Bandai Games",0.0,0.0,0.26,0.0,0.26
"Row108","ABBA: You Can Dance","Wii1",2011,"Misc","Ubisoft",0.19,0.5,0.0,0.11,0.8
"Row109","AC/DC LIVE: Rock Band Track Pack","Wii1 PS3 X360 PS2",2008,"Misc","MTV Games",0.7499999999999999,0.06999999999999999,0.0,0.08,0.91
"Row110","AIR","PSP",2007,"Adventure","Prototype",0.0,0.0,0.02,0.0,0.02
"Row111","AKB1/149: Love Election","PSP PS3 PSV",2012,"Adventure","Namco Bandai Games",0.0,0.0,0.38,0.0,0.38
"Row112","AKB1/48: Idol to Guam de Koishitara...","PSP",2011,"Misc","Namco Bandai Games",0.0,0.0,0.4,0.0,0.4
"Row113","AKB1/48: Idol to Koishitara...","PSP",2010,"Misc","Namco Bandai Games",0.0,0.0,0.41,0.0,0.41
"Row114","AMF Bowling 2004","XB",2003,"Sports","Mud Duck Productions",0.22,0.06,0.0,0.01,0.3
"Row115","AMF Bowling Pinbusters!","Wii1 NDS",2007,"Sports","Bethesda Softworks",0.9099999999999999,0.0,0.0,0.07,0.98
"Row116","AMF Bowling World Lanes","Wii1",2008,"Sports","Bethesda Softworks",0.33,0.0,0.0,0.03,0.36
"Row117","AMF Xtreme Bowling","PS2",2006,"Sports","Mastertronic",0.01,0.01,0.0,0.0,0.02
"Row118","AMNESIA World","PSV",2014,"Adventure","Idea Factory",0.0,0.0,0.03,0.0,0.03
"Row119","APB Reloaded","PC",2011,"Role-Playing","Iceberg Interactive",0.02,0.01,0.0,0.0,0.04
"Row120","ASH: Archaic Sealed Heat","NDS",2007,"Role-Playing","Nintendo",0.0,0.0,0.12,0.0,0.12
"Row121","ATV Offroad Fury","PS2",2001,"Racing","Sony Computer Entertainment",2.07,0.26,0.0,0.08,2.41
"Row122","ATV Offroad Fury 2","PS2",2002,"Racing","THQ",1.92,0.2,0.0,0.06,2.18
"Row123","ATV Offroad Fury 3","PS2",2004,"Racing","SouthPeak Games",1.0,0.04,0.0,0.16,1.2
"Row124","ATV Offroad Fury Pro","PSP",2006,"Racing","Sony Computer Entertainment",0.37,0.04,0.0,0.05,0.46
"Row125","ATV Offroad Fury: Blazin' Trails","PSP",2005,"Racing","SouthPeak Games",0.53,0.0,0.0,0.04,0.57
"Row126","ATV Quad Kings","Wii1 NDS",2009,"Racing","Zoo Digital Publishing",0.31,0.0,0.0,0.02,0.33
"Row127","ATV Quad Power Racing 2","PS2 XB GC",2003,"Racing","Acclaim Entertainment",0.99,0.45,0.0,0.13,1.57
"Row128","ATV/Monster Truck Mayhem","NDS",2007,"Racing","Destination Software Inc",0.33,0.0,0.0,0.02,0.36
"Row129","ATV: Quad Frenzy","NDS",2005,"Racing","Majesco Entertainment",0.1,0.0,0.0,0.01,0.11
"Row130","ATV: Quad Power Racing","PSX GBA",2000,"Racing","Acclaim Entertainment",0.76,0.46,0.0,0.07,1.3
"Row131","Aa Megami-samaa","PS2",2007,"Adventure","Marvelous Interactive",0.0,0.0,0.01,0.0,0.01
"Row132","Abunai: Koi no Sousa Shitsu","PSV PSP",2012,"Action","Asgard",0.0,0.0,0.03,0.0,0.03
"Row133","Academy of Champions: Soccer","Wii1",2009,"Sports","Ubisoft",0.1,0.02,0.0,0.01,0.13
"Row134","Accel World: Ginyoku no Kakusei","PS3 PSP",2012,"Adventure","Namco Bandai Games",0.0,0.0,0.06,0.0,0.06
"Row135","Accel World: Kasoku no Chouten","PS3 PSP",2013,"Adventure","Namco Bandai Games",0.0,0.0,0.03,0.0,0.03
"Row136","Ace Attorney 6","3DS",2016,"Adventure","Capcom",0.0,0.0,0.27,0.0,0.27
"Row137","Ace Attorney Investigations 2","NDS",2011,"Adventure","Capcom",0.0,0.0,0.26,0.0,0.26
"Row138","Ace Attorney Investigations: Miles Edgeworth","NDS",2009,"Adventure","Capcom",0.27,0.15,0.3,0.04,0.76
"Row139","Ace Combat 04: Shattered Skies","PS2",2001,"Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17
"Row140","Ace Combat 2","PSX",1997,"Simulation","Sony Computer Entertainment",0.16,0.11,0.56,0.06,0.89
"Row141","Ace Combat 3: Electrosphere","PSX",1999,"Simulation","Sony Computer Entertainment",0.22,0.15,0.4,0.05,0.83
"Row142","Ace Combat 5: The Unsung War","PS2",2004,"Simulation","Sony Computer Entertainment Europe",0.88,0.34,0.32,0.18,1.71
"Row143","Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.02
"Row144","Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99
"Row145","Ace Combat Zero: The Belkan War","PS2",2006,"Simulation","Namco Bandai Games",0.15,0.12,0.2,0.04,0.51
"Row146","Ace Combat: Assault Horizon","PS3 X360",2011,"Action","Namco Bandai Games",0.6,0.28,0.25,0.11000000000000001,1.23
"Row147","Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24
"Row148","Ace Combat: Joint Assault","PSP",2010,"Simulation","Namco Bandai Games",0.06,0.05,0.15,0.03,0.29
"Row149","Achtung Panzer: Kharkov 1943","PC",2010,"Strategy","Mamba Games",0.0,0.01,0.0,0.0,0.02
"Row150","Act of Aggression","PC",2015,"Strategy","Focus Home Interactive",0.0,0.01,0.0,0.0,0.01
"Row151","Action Bass","PSX",2000,"Action","Take-Two Interactive",0.64,0.43,0.0,0.07,1.14
"Row152","Action Force","2600",1982,"Action","CPG Products",0.5,0.03,0.0,0.01,0.54
"Row153","Active Health with Carol Vorderman","NDS",2009,"Sports","Nintendo",0.0,0.18,0.0,0.01,0.19
"Row154","Active Life Explorer","Wii1",2010,"Sports","Namco Bandai Games",0.14,0.0,0.0,0.01,0.15
"Row155","Active Life: Extreme Challenge","Wii1",2009,"Sports","Namco Bandai Games",0.15,0.27,0.0,0.06,0.48
"Row156","Active Life: Magical Carnival","Wii1",2011,"Misc","Namco Bandai Games",0.04,0.01,0.0,0.0,0.05
"Row157","Active Life: Outdoor Challenge","Wii1",2008,"Sports","Atari",0.79,0.44,0.19,0.14,1.55
"Row158","Activision Anthology","PS2 GBA",2002,"Misc","Activision",0.28,0.2,0.0,0.06,0.55
"Row159","Activision Hits: Remixed","PSP",2006,"Misc","Activision",0.05,0.0,0.0,0.0,0.06
"Row160","Actua Tennis","PSX",1997,"Sports","Gremlin Interactive Ltd",0.07,0.05,0.0,0.01,0.13
"Row161","Adidas Power Soccer","PSX",1996,"Sports","Psygnosis",0.02,0.01,0.0,0.0,0.04
"Row162","Adidas Power Soccer 98","PSX",1998,"Sports","Psygnosis",0.01,0.01,0.0,0.0,0.02
"Row163","Adrenalin Misfits","X360",2010,"Racing","Konami Digital Entertainment",0.12,0.02,0.0,0.01,0.14
"Row164","Advance Guardian Heroes","GBA",2004,"Role-Playing","Ubisoft",0.03,0.01,0.0,0.0,0.04
"Row165","Advance Wars","GBA",2001,"Strategy","Nintendo",0.5,0.19,0.0,0.01,0.7
"Row166","Advance Wars 2: Black Hole Rising","GBA",2003,"Strategy","Nintendo",0.47,0.17,0.0,0.01,0.65
"Row167","Advance Wars: Dual Strike","NDS",2005,"Strategy","Nintendo",0.3,0.03,0.04,0.03,0.4
"Row168","Advent Rising","XB",2005,"Action","THQ",0.1,0.03,0.0,0.0,0.13
"Row169","Adventure Island","Famicom",1986,"Platform","Hudson Soft",0.0,0.0,1.05,0.0,1.05
"Row170","Adventure Time: Explore the Dungeon Because I Don't Know!","3DS X360 PS3 WiiU",2013,"Action","D3Publisher",0.16999999999999998,0.1,0.0,0.03,0.30000000000000004
"Row171","Adventure Time: Finn & Jake Investigations","PS3 X360 PS4 3DS WiiU XOne",2015,"Action","Little Orbit",0.14,0.26,0.0,0.05,0.45
"Row172","Adventure Time: The Secret of the Nameless","3DS X360",2014,"Adventure","Little Orbit",0.02,0.0,0.0,0.0,0.03
"Row173","Adventure Time: The Secret of the Nameless Kingdom","X360 3DS",2014,"Action","Little Orbit",0.0,0.15000000000000002,0.0,0.01,0.16999999999999998
"Row174","Adventures of Lolo","Famicom",1989,"Puzzle","HAL Laboratory",0.06,0.0,0.0,0.0,0.06
"Row175","Adventures of Tron","2600",1981,"Action","Mattel Interactive",0.63,0.03,0.0,0.01,0.67
"Row176","Adventures to Go!","PSP",2008,"Role-Playing","Zushi Games",0.1,0.0,0.01,0.01,0.13
"Row177","Aedis Eclipse: Generation of Chaos","PSP",2006,"Role-Playing","Idea Factory",0.02,0.0,0.0,0.0,0.02
"Row178","Aegis of Earth: Protonovus Assault","PSV PS3 PS4",2016,"Action","PQube",0.05,0.02,0.0,0.01,0.09000000000000001
"Row179","Aeon Flux","PS2 XB",2005,"Action","THQ",0.03,0.02,0.0,0.01,0.05
"Row180","Aero Elite: Combat Academy","PS2",2002,"Simulation","Sega",0.04,0.03,0.0,0.01,0.07
"Row181","Aero Gauge","N64",1997,"Racing","ASCII Entertainment",0.06,0.01,0.0,0.0,0.07
"Row182","AeroFighters Assault","N64",1997,"Action","Video System",0.15,0.04,0.0,0.0,0.19
"Row183","Afro Samurai","X360 PS3",2009,"Action","Atari",0.28,0.1,0.0,0.05,0.44
"Row184","After Hours Athletes","PS3",2011,"Sports","Sony Computer Entertainment",0.0,0.1,0.0,0.03,0.12
"Row185","Again","NDS",2009,"Adventure","Ackkstudios",0.07,0.0,0.0,0.0,0.07
"Row186","Agassi Tennis Generation","PS2",2003,"Sports","DreamCatcher Interactive",0.04,0.03,0.0,0.01,0.09
"Row187","Agatha Christie's The ABC Murders","PS4",2016,"Adventure","Microids",0.01,0.01,0.0,0.0,0.02
"Row188","Agatha Christie: And Then There Were None","Wii1",2008,"Adventure","The Adventure Company",0.06,0.01,0.0,0.01,0.08
"Row189","Agatha Christie: Death on the Nile","PC",2008,"Adventure","Big Fish Games",0.0,0.01,0.0,0.0,0.02
"Row190","Agatha Christie: Evil Under the Sun","Wii1",2008,"Adventure","The Adventure Company",0.07,0.02,0.0,0.01,0.09
"Row191","Agatha Christie: Peril at End House","PC",2009,"Adventure","JoWood Productions",0.0,0.01,0.0,0.0,0.01
"Row192","Agatha Christie: The ABC Murders","NDS PC",2009,"Adventure","JoWood Productions",0.08,0.03,0.0,0.01,0.12000000000000001
"Row193","Age of Conan: Rise of the Godslayer","PC",2010,"Role-Playing","Funcom",0.0,0.02,0.0,0.0,0.03
"Row194","Age of Empires II: The Age of Kings","PC",1999,"Strategy","Microsoft Game Studios",0.01,0.08,0.0,0.02,0.1
"Row195","Age of Empires III","PC",2005,"Strategy","Microsoft Game Studios",0.0,0.32,0.0,0.07,0.39
"Row196","Age of Empires III: Complete Collection","PC",2009,"Strategy","Microsoft Game Studios",0.01,0.12,0.0,0.03,0.17
"Row197","Age of Empires III: Gold Edition","PC",2007,"Strategy","Microsoft Game Studios",0.0,0.02,0.0,0.01,0.03
"Row198","Age of Empires III: The Asian Dynasties","PC",2007,"Strategy","Microsoft Game Studios",0.0,0.05,0.0,0.01,0.07
"Row199","Age of Empires Online","PC",2011,"Strategy","Microsoft Game Studios",0.01,0.04,0.0,0.01,0.06
"Row200","Age of Empires: Collector's Edition","PC",2000,"Strategy","Ubisoft",0.02,0.1,0.0,0.02,0.14
"Row201","Age of Empires: Mythologies","NDS",2008,"Strategy","THQ",0.17,0.03,0.0,0.02,0.22
"Row202","Age of Empires: The Age of Kings","NDS",2006,"Strategy","THQ",0.19,0.02,0.0,0.02,0.23
"Row203","Age of Mythology","PC",2002,"Strategy","Microsoft Game Studios",0.02,0.06,0.0,0.01,0.09
"Row204","Age of Mythology: The Titans","PC",2003,"Strategy","Microsoft Game Studios",0.01,0.02,0.0,0.0,0.04
"Row205","Aggressive Inline","PS2 XB GC",2002,"Sports","Acclaim Entertainment",0.26,0.15000000000000002,0.0,0.04,0.47
"Row206","Agile Warrior F-111X","PSX",1995,"Simulation","Virgin Interactive",0.08,0.05,0.0,0.01,0.14
"Row207","Aibou DS","NDS",2009,"Adventure","Tecmo Koei",0.0,0.0,0.08,0.0,0.08
"Row208","Aidyn Chronicles: The First Mage","N64",2001,"Role-Playing","THQ",0.08,0.02,0.0,0.0,0.1
"Row209","Aikatsu! 2-nin no My Princess","3DS",2013,"Action","Namco Bandai Games",0.0,0.0,0.26,0.0,0.26
"Row210","Aikatsu! 365 Idol Days","3DS",2014,"Adventure","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Row211","Aikatsu! Cinderella Lesson","3DS",2012,"Role-Playing","Namco Bandai Games",0.0,0.0,0.2,0.0,0.2
"Row212","Aikatsu! My No.1 Stage!","3DS",2015,"Misc","Namco Bandai Games",0.0,0.0,0.07,0.0,0.07
"Row213","Ailu de Puzzle","PSP",2012,"Action","Capcom",0.0,0.0,0.04,0.0,0.04
"Row214","Air Combat","PSX",1995,"Simulation","Sony Computer Entertainment",0.92,0.33,0.52,0.05,1.83
"Row215","Air Conflicts: Aces of World War II","PSP",2009,"Simulation","Graffiti",0.05,0.0,0.0,0.0,0.05
"Row216","Air Conflicts: Secret Wars","PS3 X360 PC",2011,"Simulation","bitComposer Games",0.16,0.1,0.0,0.05,0.30000000000000004
"Row217","Air Raid","2600",1981,"Action","Men-A-Vision",0.72,0.04,0.0,0.01,0.77
"Row218","Air Traffic Chaos","NDS",2007,"Simulation","Ertain",0.05,0.0,0.0,0.0,0.05
"Row219","AirForce Delta Storm","XB GBA",2001,"Shooter","Konami Digital Entertainment",0.16,0.05,0.0,0.01,0.19999999999999998
"Row220","AirForce Delta Strike","PS2",2004,"Simulation","Konami Digital Entertainment",0.05,0.04,0.0,0.01,0.11
"Row221","Airblade","PS2",2001,"Sports","Sony Computer Entertainment",0.11,0.09,0.0,0.03,0.23
"Row222","Airborne Troops: Countdown to D-Day","PS2",2005,"Shooter","Playlogic Game Factory",0.06,0.05,0.0,0.02,0.12
"Row223","Airline Tycoon","PC",2000,"Simulation","Interplay",0.0,0.01,0.0,0.0,0.02
"Row224","Airline Tycoon 2","PC",2011,"Simulation","Kalypso Media",0.0,0.04,0.0,0.01,0.05
