"row ID","Name","Count(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Row114","AMF Bowling 2004",1,2003,"Sports","Mud Duck Productions",0.22,0.06,0.0,0.01,0.3
"Row115","AMF Bowling Pinbusters!",2,2007,"Sports","Bethesda Softworks",0.9099999999999999,0.0,0.0,0.07,0.98
"Row116","AMF Bowling World Lanes",1,2008,"Sports","Bethesda Softworks",0.33,0.0,0.0,0.03,0.36
"Row117","AMF Xtreme Bowling",1,2006,"Sports","Mastertronic",0.01,0.01,0.0,0.0,0.02
"Row118","AMNESIA World",1,2014,"Adventure","Idea Factory",0.0,0.0,0.03,0.0,0.03
"Row119","APB Reloaded",1,2011,"Role-Playing","Iceberg Interactive",0.02,0.01,0.0,0.0,0.04
"Row120","ASH: Archaic Sealed Heat",1,2007,"Role-Playing","Nintendo",0.0,0.0,0.12,0.0,0.12
"Row121","ATV Offroad Fury",1,2001,"Racing","Sony Computer Entertainment",2.07,0.26,0.0,0.08,2.41
"Row122","ATV Offroad Fury 2",1,2002,"Racing","THQ",1.92,0.2,0.0,0.06,2.18
"Row123","ATV Offroad Fury 3",1,2004,"Racing","SouthPeak Games",1.0,0.04,0.0,0.16,1.2
"Row124","ATV Offroad Fury Pro",1,2006,"Racing","Sony Computer Entertainment",0.37,0.04,0.0,0.05,0.46
"Row125","ATV Offroad Fury: Blazin' Trails",1,2005,"Racing","SouthPeak Games",0.53,0.0,0.0,0.04,0.57
"Row126","ATV Quad Kings",2,2009,"Racing","Zoo Digital Publishing",0.31,0.0,0.0,0.02,0.33
"Row127","ATV Quad Power Racing 2",3,2003,"Racing","Acclaim Entertainment",0.99,0.45,0.0,0.13,1.57
"Row128","ATV/Monster Truck Mayhem",1,2007,"Racing","Destination Software Inc",0.33,0.0,0.0,0.02,0.36
"Row129","ATV: Quad Frenzy",1,2005,"Racing","Majesco Entertainment",0.1,0.0,0.0,0.01,0.11
"Row130","ATV: Quad Power Racing",2,2000,"Racing","Acclaim Entertainment",0.76,0.46,0.0,0.07,1.3
"Row131","Aa Megami-samaa",1,2007,"Adventure","Marvelous Interactive",0.0,0.0,0.01,0.0,0.01
"Row132","Abunai: Koi no Sousa Shitsu",2,2012,"Action","Asgard",0.0,0.0,0.03,0.0,0.03
"Row133","Academy of Champions: Soccer",1,2009,"Sports","Ubisoft",0.1,0.02,0.0,0.01,0.13
"Row134","Accel World: Ginyoku no Kakusei",2,2012,"Adventure","Namco Bandai Games",0.0,0.0,0.06,0.0,0.06
"Row135","Accel World: Kasoku no Chouten",2,2013,"Adventure","Namco Bandai Games",0.0,0.0,0.03,0.0,0.03
"Row136","Ace Attorney 6",1,2016,"Adventure","Capcom",0.0,0.0,0.27,0.0,0.27
"Row137","Ace Attorney Investigations 2",1,2011,"Adventure","Capcom",0.0,0.0,0.26,0.0,0.26
"Row138","Ace Attorney Investigations: Miles Edgeworth",1,2009,"Adventure","Capcom",0.27,0.15,0.3,0.04,0.76
"Row139","Ace Combat 04: Shattered Skies",1,2001,"Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17
"Row140","Ace Combat 2",1,1997,"Simulation","Sony Computer Entertainment",0.16,0.11,0.56,0.06,0.89
"Row141","Ace Combat 3: Electrosphere",1,1999,"Simulation","Sony Computer Entertainment",0.22,0.15,0.4,0.05,0.83
"Row142","Ace Combat 5: The Unsung War",1,2004,"Simulation","Sony Computer Entertainment Europe",0.88,0.34,0.32,0.18,1.71
"Row143","Ace Combat 6: Fires of Liberation",1,2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.02
"Row144","Ace Combat X: Skies of Deception",1,2006,"Simulation","Namco Bandai Games",0.37,0.31,0.12,0.19,0.99
"Row145","Ace Combat Zero: The Belkan War",1,2006,"Simulation","Namco Bandai Games",0.15,0.12,0.2,0.04,0.51
"Row146","Ace Combat: Assault Horizon",2,2011,"Action","Namco Bandai Games",0.6,0.28,0.25,0.11000000000000001,1.23
"Row147","Ace Combat: Assault Horizon Legacy",1,2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24
"Row148","Ace Combat: Joint Assault",1,2010,"Simulation","Namco Bandai Games",0.06,0.05,0.15,0.03,0.29
"Row149","Achtung Panzer: Kharkov 1943",1,2010,"Strategy","Mamba Games",0.0,0.01,0.0,0.0,0.02
"Row150","Act of Aggression",1,2015,"Strategy","Focus Home Interactive",0.0,0.01,0.0,0.0,0.01
"Row151","Action Bass",1,2000,"Action","Take-Two Interactive",0.64,0.43,0.0,0.07,1.14
"Row152","Action Force",1,1982,"Action","CPG Products",0.5,0.03,0.0,0.01,0.54
"Row153","Active Health with Carol Vorderman",1,2009,"Sports","Nintendo",0.0,0.18,0.0,0.01,0.19
"Row154","Active Life Explorer",1,2010,"Sports","Namco Bandai Games",0.14,0.0,0.0,0.01,0.15
"Row155","Active Life: Extreme Challenge",1,2009,"Sports","Namco Bandai Games",0.15,0.27,0.0,0.06,0.48
"Row156","Active Life: Magical Carnival",1,2011,"Misc","Namco Bandai Games",0.04,0.01,0.0,0.0,0.05
"Row157","Active Life: Outdoor Challenge",1,2008,"Sports","Atari",0.79,0.44,0.19,0.14,1.55
"Row158","Activision Anthology",2,2002,"Misc","Activision",0.28,0.2,0.0,0.06,0.55
"Row159","Activision Hits: Remixed",1,2006,"Misc","Activision",0.05,0.0,0.0,0.0,0.06
"Row160","Actua Tennis",1,1997,"Sports","Gremlin Interactive Ltd",0.07,0.05,0.0,0.01,0.13
"Row161","Adidas Power Soccer",1,1996,"Sports","Psygnosis",0.02,0.01,0.0,0.0,0.04
"Row162","Adidas Power Soccer 98",1,1998,"Sports","Psygnosis",0.01,0.01,0.0,0.0,0.02
"Row163","Adrenalin Misfits",1,2010,"Racing","Konami Digital Entertainment",0.12,0.02,0.0,0.01,0.14
"Row164","Advance Guardian Heroes",1,2004,"Role-Playing","Ubisoft",0.03,0.01,0.0,0.0,0.04
"Row165","Advance Wars",1,2001,"Strategy","Nintendo",0.5,0.19,0.0,0.01,0.7
"Row166","Advance Wars 2: Black Hole Rising",1,2003,"Strategy","Nintendo",0.47,0.17,0.0,0.01,0.65
"Row167","Advance Wars: Dual Strike",1,2005,"Strategy","Nintendo",0.3,0.03,0.04,0.03,0.4
"Row168","Advent Rising",1,2005,"Action","THQ",0.1,0.03,0.0,0.0,0.13
"Row169","Adventure Island",1,1986,"Platform","Hudson Soft",0.0,0.0,1.05,0.0,1.05
"Row170","Adventure Time: Explore the Dungeon Because I Don't Know!",4,2013,"Action","D3Publisher",0.16999999999999998,0.1,0.0,0.03,0.30000000000000004
"Row171","Adventure Time: Finn & Jake Investigations",6,2015,"Action","Little Orbit",0.14,0.26,0.0,0.05,0.45
"Row172","Adventure Time: The Secret of the Nameless",2,2014,"Adventure","Little Orbit",0.02,0.0,0.0,0.0,0.03
"Row173","Adventure Time: The Secret of the Nameless Kingdom",2,2014,"Action","Little Orbit",0.0,0.15000000000000002,0.0,0.01,0.16999999999999998
"Row174","Adventures of Lolo",1,1989,"Puzzle","HAL Laboratory",0.06,0.0,0.0,0.0,0.06
"Row175","Adventures of Tron",1,1981,"Action","Mattel Interactive",0.63,0.03,0.0,0.01,0.67
"Row176","Adventures to Go!",1,2008,"Role-Playing","Zushi Games",0.1,0.0,0.01,0.01,0.13
"Row177","Aedis Eclipse: Generation of Chaos",1,2006,"Role-Playing","Idea Factory",0.02,0.0,0.0,0.0,0.02
"Row178","Aegis of Earth: Protonovus Assault",3,2016,"Action","PQube",0.05,0.02,0.0,0.01,0.09000000000000001
"Row179","Aeon Flux",2,2005,"Action","THQ",0.03,0.02,0.0,0.01,0.05
"Row180","Aero Elite: Combat Academy",1,2002,"Simulation","Sega",0.04,0.03,0.0,0.01,0.07
"Row181","Aero Gauge",1,1997,"Racing","ASCII Entertainment",0.06,0.01,0.0,0.0,0.07
"Row182","AeroFighters Assault",1,1997,"Action","Video System",0.15,0.04,0.0,0.0,0.19
"Row183","Afro Samurai",2,2009,"Action","Atari",0.28,0.1,0.0,0.05,0.44
"Row184","After Hours Athletes",1,2011,"Sports","Sony Computer Entertainment",0.0,0.1,0.0,0.03,0.12
"Row185","Again",1,2009,"Adventure","Ackkstudios",0.07,0.0,0.0,0.0,0.07
"Row186","Agassi Tennis Generation",1,2003,"Sports","DreamCatcher Interactive",0.04,0.03,0.0,0.01,0.09
"Row187","Agatha Christie's The ABC Murders",1,2016,"Adventure","Microids",0.01,0.01,0.0,0.0,0.02
"Row188","Agatha Christie: And Then There Were None",1,2008,"Adventure","The Adventure Company",0.06,0.01,0.0,0.01,0.08
"Row189","Agatha Christie: Death on the Nile",1,2008,"Adventure","Big Fish Games",0.0,0.01,0.0,0.0,0.02
"Row190","Agatha Christie: Evil Under the Sun",1,2008,"Adventure","The Adventure Company",0.07,0.02,0.0,0.01,0.09
"Row191","Agatha Christie: Peril at End House",1,2009,"Adventure","JoWood Productions",0.0,0.01,0.0,0.0,0.01
"Row192","Agatha Christie: The ABC Murders",2,2009,"Adventure","JoWood Productions",0.08,0.03,0.0,0.01,0.12000000000000001
"Row193","Age of Conan: Rise of the Godslayer",1,2010,"Role-Playing","Funcom",0.0,0.02,0.0,0.0,0.03
"Row194","Age of Empires II: The Age of Kings",1,1999,"Strategy","Microsoft Game Studios",0.01,0.08,0.0,0.02,0.1
"Row195","Age of Empires III",1,2005,"Strategy","Microsoft Game Studios",0.0,0.32,0.0,0.07,0.39
"Row196","Age of Empires III: Complete Collection",1,2009,"Strategy","Microsoft Game Studios",0.01,0.12,0.0,0.03,0.17
"Row197","Age of Empires III: Gold Edition",1,2007,"Strategy","Microsoft Game Studios",0.0,0.02,0.0,0.01,0.03
"Row198","Age of Empires III: The Asian Dynasties",1,2007,"Strategy","Microsoft Game Studios",0.0,0.05,0.0,0.01,0.07
"Row199","Age of Empires Online",1,2011,"Strategy","Microsoft Game Studios",0.01,0.04,0.0,0.01,0.06
"Row200","Age of Empires: Collector's Edition",1,2000,"Strategy","Ubisoft",0.02,0.1,0.0,0.02,0.14
"Row201","Age of Empires: Mythologies",1,2008,"Strategy","THQ",0.17,0.03,0.0,0.02,0.22
"Row202","Age of Empires: The Age of Kings",1,2006,"Strategy","THQ",0.19,0.02,0.0,0.02,0.23
"Row203","Age of Mythology",1,2002,"Strategy","Microsoft Game Studios",0.02,0.06,0.0,0.01,0.09
"Row204","Age of Mythology: The Titans",1,2003,"Strategy","Microsoft Game Studios",0.01,0.02,0.0,0.0,0.04
"Row205","Aggressive Inline",3,2002,"Sports","Acclaim Entertainment",0.26,0.15000000000000002,0.0,0.04,0.47
"Row206","Agile Warrior F-111X",1,1995,"Simulation","Virgin Interactive",0.08,0.05,0.0,0.01,0.14
"Row207","Aibou DS",1,2009,"Adventure","Tecmo Koei",0.0,0.0,0.08,0.0,0.08
"Row208","Aidyn Chronicles: The First Mage",1,2001,"Role-Playing","THQ",0.08,0.02,0.0,0.0,0.1
"Row209","Aikatsu! 2-nin no My Princess",1,2013,"Action","Namco Bandai Games",0.0,0.0,0.26,0.0,0.26
"Row210","Aikatsu! 365 Idol Days",1,2014,"Adventure","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Row211","Aikatsu! Cinderella Lesson",1,2012,"Role-Playing","Namco Bandai Games",0.0,0.0,0.2,0.0,0.2
"Row212","Aikatsu! My No.1 Stage!",1,2015,"Misc","Namco Bandai Games",0.0,0.0,0.07,0.0,0.07
"Row213","Ailu de Puzzle",1,2012,"Action","Capcom",0.0,0.0,0.04,0.0,0.04
"Row214","Air Combat",1,1995,"Simulation","Sony Computer Entertainment",0.92,0.33,0.52,0.05,1.83
"Row215","Air Conflicts: Aces of World War II",1,2009,"Simulation","Graffiti",0.05,0.0,0.0,0.0,0.05
"Row216","Air Conflicts: Secret Wars",3,2011,"Simulation","bitComposer Games",0.16,0.1,0.0,0.05,0.30000000000000004
"Row217","Air Raid",1,1981,"Action","Men-A-Vision",0.72,0.04,0.0,0.01,0.77
"Row218","Air Traffic Chaos",1,2007,"Simulation","Ertain",0.05,0.0,0.0,0.0,0.05
"Row219","AirForce Delta Storm",2,2001,"Shooter","Konami Digital Entertainment",0.16,0.05,0.0,0.01,0.19999999999999998
"Row220","AirForce Delta Strike",1,2004,"Simulation","Konami Digital Entertainment",0.05,0.04,0.0,0.01,0.11
"Row221","Airblade",1,2001,"Sports","Sony Computer Entertainment",0.11,0.09,0.0,0.03,0.23
"Row222","Airborne Troops: Countdown to D-Day",1,2005,"Shooter","Playlogic Game Factory",0.06,0.05,0.0,0.02,0.12
"Row223","Airline Tycoon",1,2000,"Simulation","Interplay",0.0,0.01,0.0,0.0,0.02
"Row224","Airline Tycoon 2",1,2011,"Simulation","Kalypso Media",0.0,0.04,0.0,0.01,0.05
"Row225","Airlock",1,1981,"Action","Data Age",0.36,0.02,0.0,0.0,0.39
"Row226","Airship Q",1,2015,"Platform","Cygames",0.0,0.0,0.03,0.0,0.03
"Row227","Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin",1,2008,"Adventure","Marvelous Interactive",0.0,0.0,0.06,0.0,0.06
"Row228","Akai Ito DS",1,2008,"Adventure","Alchemist",0.0,0.0,0.02,0.0,0.02
"Row229","Akai Katana Shin",1,2011,"Shooter","Cave",0.04,0.0,0.01,0.0,0.06
"Row230","Akane Iro ni Somaru Saka Parallel",1,2008,"Adventure","GN Software",0.0,0.0,0.03,0.0,0.03
"Row231","Akatsuki no Amaneka to Aoi Kyojin",1,2010,"Strategy","CyberFront",0.0,0.0,0.01,0.0,0.01
"Row232","Akatsuki no Goei Trinity",2,2012,"Adventure","5pb",0.0,0.0,0.02,0.0,0.02
"Row233","Akiba's Trip",1,2011,"Adventure","Acquire",0.0,0.0,0.14,0.0,0.14
"Row234","Akiba's Trip Plus",1,2012,"Adventure","Acquire",0.0,0.0,0.08,0.0,0.08
"Row235","Akiba's Trip: Undead & Undressed",3,2013,"Action","Nippon Ichi Software",0.21999999999999997,0.03,0.13,0.060000000000000005,0.43
